employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches
9138,Marketing,Team Lead,Full-time,Remote,25,46,87,310213,1.0,42,1,20.7,0,86,4,5
9139,Finance,Associate,Full-time,Onsite,22,7,94,393552,1.9,47,1,5.8,1,145,4,4
9140,HR,Senior Associate,Full-time,Onsite,35,7,88,317067,0.1,68,1,28.6,1,137,2,1
9141,Sales,Associate,Contract,Hybrid,29,101,97,267006,0.3,47,1,23.9,1,148,4,4
9142,Operations,Team Lead,Full-time,Hybrid,28,69,65,277509,0.6,40,1,25.7,1,139,1,3
9143,Engineering,Associate,Full-time,Remote,51,33,73,306986,1.9,60,1,3.7,1,85,3,4
9144,Finance,Manager,Full-time,Hybrid,46,114,88,370453,1.8,78,0,2.9,0,124,2,0
9145,HR,Associate,Full-time,Remote,37,10,87,220401,0.3,41,0,20.2,0,127,1,3
9146,Marketing,Manager,Full-time,Remote,32,81,69,206223,2.0,73,1,18.3,0,120,2,6
9147,Engineering,Manager,Full-time,Onsite,46,104,63,227843,1.5,60,1,11.6,1,142,5,2
9148,Finance,Team Lead,Full-time,Hybrid,54,28,83,267480,1.1,72,0,4.8,1,81,0,8
9149,HR,Associate,Full-time,Hybrid,42,47,61,217440,1.9,78,0,14.8,1,138,3,4
9150,HR,Team Lead,Full-time,Remote,31,46,88,266296,1.8,79,1,5.4,1,116,5,1
9151,HR,Senior Associate,Contract,Onsite,30,22,84,213312,0.8,46,1,3.7,1,123,8,5
9152,Marketing,Associate,Full-time,Hybrid,22,21,90,390030,1.3,54,1,26.1,1,121,2,3
9153,HR,Associate,Full-time,Hybrid,55,111,74,366032,1.3,48,1,15.6,1,123,3,0
9154,Operations,Manager,Full-time,Hybrid,52,56,97,206570,0.7,69,1,9.6,0,144,2,2
9155,Finance,Associate,Full-time,Hybrid,42,32,92,317177,0.4,56,1,21.6,0,143,2,2
9156,Finance,Associate,Contract,Hybrid,45,32,67,334290,0.9,77,1,28.9,1,83,5,2
9157,Marketing,Manager,Full-time,Onsite,40,115,99,363381,0.5,78,0,0.5,0,116,3,4
9158,Operations,Associate,Contract,Hybrid,42,36,75,348849,0.7,60,1,7.5,1,109,3,3
9159,Operations,Associate,Full-time,Remote,46,31,97,204434,1.9,42,1,9.9,1,125,2,2
9160,Marketing,Senior Associate,Full-time,Onsite,41,70,93,235411,0.9,76,1,5.6,1,109,3,0
9161,Finance,Associate,Full-time,Hybrid,47,54,65,334912,1.4,56,1,22.5,1,137,4,2
9162,HR,Associate,Full-time,Remote,28,21,98,316367,0.7,56,1,26.1,1,108,2,5
9163,Engineering,Associate,Full-time,Onsite,24,35,99,201687,2.0,50,1,13.0,1,146,5,4
9164,Operations,Team Lead,Full-time,Hybrid,29,78,82,346131,1.3,49,1,10.6,1,129,6,3
9165,Finance,Manager,Full-time,Hybrid,51,23,80,251391,0.4,40,1,11.7,1,82,6,4
9166,Sales,Team Lead,Full-time,Remote,32,42,94,346071,0.2,49,1,5.4,1,116,3,2
9167,Finance,Senior Associate,Full-time,Hybrid,29,24,88,292089,1.9,64,0,10.9,1,119,2,3
9168,HR,Senior Associate,Full-time,Onsite,38,94,94,205055,1.9,55,1,6.2,1,106,4,2
9169,Marketing,Associate,Full-time,Hybrid,29,74,61,353768,1.2,77,0,9.3,1,114,1,1
9170,Sales,Team Lead,Full-time,Onsite,51,69,92,281056,0.0,71,1,21.8,1,138,3,7
9171,HR,Team Lead,Full-time,Remote,37,42,85,399903,0.5,64,1,27.0,1,98,3,3
9172,Operations,Senior Associate,Contract,Remote,25,30,91,205561,1.6,52,0,7.9,1,82,3,7
9173,Engineering,Team Lead,Full-time,Onsite,42,71,77,318455,1.8,55,1,24.7,1,97,5,5
9174,Sales,Team Lead,Full-time,Onsite,55,6,93,311454,0.9,59,0,2.8,0,94,3,3
9175,Operations,Associate,Full-time,Remote,56,72,89,340046,0.7,67,1,19.2,1,126,6,2
9176,HR,Manager,Full-time,Onsite,34,52,82,376960,0.5,47,0,27.8,1,105,0,4
9177,Sales,Team Lead,Full-time,Hybrid,48,90,79,365744,0.2,70,1,27.2,1,120,0,6
9178,Sales,Associate,Full-time,Remote,29,82,82,389835,0.2,67,1,24.7,1,92,3,4
9179,Finance,Associate,Full-time,Remote,50,100,99,354786,1.9,68,1,24.5,0,97,2,1
9180,Operations,Senior Associate,Full-time,Onsite,37,26,67,214884,1.6,73,1,19.1,0,116,4,3
9181,Marketing,Team Lead,Full-time,Onsite,26,100,73,303663,0.3,76,1,29.9,1,124,5,2
9182,Sales,Manager,Full-time,Onsite,31,41,82,280413,0.4,59,1,6.6,0,90,2,3
9183,Engineering,Senior Associate,Full-time,Onsite,36,68,73,366617,1.3,44,1,20.4,1,92,2,4
9184,Engineering,Manager,Full-time,Remote,42,54,61,317691,1.5,66,1,13.8,1,134,3,4
9185,Finance,Senior Associate,Full-time,Hybrid,55,60,63,203871,1.6,76,0,21.4,1,135,2,2
9186,Sales,Associate,Full-time,Remote,43,77,83,211657,0.3,76,1,12.6,1,98,2,1
9187,Finance,Manager,Contract,Remote,43,55,95,398779,2.0,70,0,15.6,1,80,3,4
9188,Finance,Senior Associate,Full-time,Hybrid,30,24,68,365037,0.5,72,1,28.2,1,81,4,5
9189,Finance,Manager,Full-time,Onsite,47,119,75,248661,1.2,71,1,13.4,1,84,3,2
9190,Marketing,Senior Associate,Full-time,Onsite,34,95,91,216200,1.2,56,1,10.2,1,86,2,0
9191,Sales,Team Lead,Full-time,Remote,39,86,91,340405,1.9,62,0,5.8,1,106,7,1
9192,Sales,Associate,Full-time,Onsite,22,40,86,256374,1.3,76,1,23.0,0,110,1,6
9193,HR,Manager,Full-time,Remote,44,82,74,396600,1.2,56,1,16.1,0,136,5,2
9194,Finance,Manager,Full-time,Remote,54,64,63,261725,1.0,57,1,25.1,1,113,2,9
9195,Finance,Senior Associate,Full-time,Onsite,52,34,95,390132,1.5,53,1,19.6,1,85,2,5
9196,Finance,Manager,Full-time,Onsite,42,87,84,214168,0.2,55,1,26.3,0,133,3,2
9197,Finance,Senior Associate,Full-time,Onsite,44,39,74,225364,0.0,63,1,2.4,1,82,5,4
9198,Engineering,Associate,Full-time,Onsite,37,111,71,221329,1.9,78,1,13.3,0,90,2,3
9199,Sales,Team Lead,Full-time,Onsite,48,101,66,287827,1.0,42,1,13.3,1,100,2,3
9200,Finance,Manager,Full-time,Hybrid,35,111,95,342567,0.7,52,0,25.7,0,139,2,3
