employee_id,department,current_designation,tenure_months,months_since_last_promotion,performance_rating,avg_performance_rating_last_2yrs,project_completion_rate,training_hours_completed,peer_review_score,manager_rating,leadership_flag,certifications_count
9180,Engineering,Manager,109,104,1,1.91,33.6,1,1.14,1,0,0
9181,Operations,Team Lead,83,114,1,1.42,10.8,2,1.8,2,0,0
9182,Finance,Senior Associate,25,93,2,1.7,12.3,2,1.11,2,0,0
9183,Engineering,Team Lead,77,113,2,1.34,12.9,3,1.96,1,0,0
9184,Finance,Team Lead,79,91,1,1.54,27.4,3,1.77,1,0,0
9185,Sales,Associate,24,105,2,1.25,18.9,0,1.71,2,0,0
9186,Engineering,Manager,76,94,1,1.72,13.5,4,1.24,2,0,0
9187,Engineering,Manager,50,81,2,1.09,27.8,3,1.76,1,0,0
9188,HR,Manager,57,86,1,1.74,20.4,1,1.02,2,0,1
9189,Marketing,Senior Associate,49,105,1,1.16,33.5,3,1.55,1,0,0
9190,Sales,Team Lead,73,100,2,1.33,30.8,0,1.31,1,0,0
9191,Engineering,Associate,85,83,1,1.38,27.2,1,1.83,1,0,0
9192,Sales,Manager,57,107,1,1.38,26.1,1,1.76,2,0,0
9193,Sales,Senior Associate,43,115,2,1.38,27.3,1,1.49,2,0,0
9194,Operations,Associate,16,105,2,1.66,13.3,3,1.47,2,0,0
9195,Marketing,Manager,84,108,1,1.46,19.9,3,1.07,2,0,0
9196,Engineering,Team Lead,104,101,1,1.42,11.3,0,1.23,1,0,0
9197,HR,Manager,109,94,1,1.89,14.2,2,1.71,2,0,0
9198,Finance,Team Lead,92,101,2,1.92,13.7,4,1.07,1,0,1
9199,Engineering,Senior Associate,38,119,1,1.61,21.7,0,1.79,1,0,0
9200,Operations,Manager,77,117,2,1.56,28.1,4,1.98,2,0,0
