employee_id,department,current_designation,tenure_months,months_since_last_promotion,performance_rating,avg_performance_rating_last_2yrs,project_completion_rate,training_hours_completed,peer_review_score,manager_rating,leadership_flag,certifications_count
9064,Operations,Senior Associate,40,21,5,4.06,81.7,2,4.24,4,0,1
9065,HR,Associate,118,23,1,4.66,55.6,19,3.82,1,0,3
9066,HR,Team Lead,48,18,3,2.28,80.9,22,1.81,5,0,1
9067,Marketing,Manager,68,38,4,4.94,67.6,75,2.89,5,0,0
9068,Operations,Team Lead,83,43,5,4.69,56.6,63,3.55,2,0,0
9069,HR,Senior Associate,45,56,2,1.96,91.2,3,4.95,3,0,0
9070,Finance,Team Lead,15,38,2,3.25,94.0,49,2.4,3,0,0
9071,Sales,Senior Associate,88,17,4,3.05,60.7,69,4.42,1,0,2
9072,Sales,Team Lead,116,9,5,1.8,76.8,20,1.82,2,0,3
9073,Marketing,Manager,6,54,1,4.91,66.6,49,2.12,4,0,1
9074,Operations,Senior Associate,71,43,2,1.21,75.9,71,4.65,5,0,0
9075,Sales,Team Lead,23,20,5,1.83,62.4,5,1.67,2,1,3
9076,HR,Manager,59,29,1,4.84,55.1,31,2.7,3,1,1
9077,Finance,Manager,71,13,3,1.11,79.1,4,3.73,5,0,1
9078,HR,Manager,23,44,3,1.66,55.0,25,4.63,5,0,2
9079,Engineering,Team Lead,22,18,1,4.46,72.8,15,2.81,2,0,2
9080,Sales,Associate,22,49,1,4.85,68.7,18,1.68,2,0,0
9081,Sales,Manager,32,22,4,2.16,94.3,57,3.7,3,0,2
9082,Marketing,Team Lead,79,15,3,1.08,67.6,31,3.55,1,0,2
9083,Marketing,Manager,22,49,1,1.21,63.2,37,3.37,1,0,0
9084,HR,Manager,94,10,2,3.57,79.8,35,3.97,2,0,3
9085,Sales,Associate,118,33,2,3.96,50.8,25,3.04,5,0,1
9086,Sales,Team Lead,4,15,3,3.39,92.7,54,4.58,2,0,1
9087,Finance,Manager,70,44,4,4.93,52.7,11,4.04,2,1,2
9088,Marketing,Manager,95,39,4,1.9,95.1,59,2.12,5,0,0
9089,Marketing,Manager,31,13,1,4.45,76.4,27,2.98,1,0,0
9090,HR,Senior Associate,107,58,1,2.29,75.2,44,1.87,3,0,3
9091,Marketing,Manager,112,39,1,1.5,84.0,63,4.76,3,0,0
9092,Sales,Team Lead,37,27,4,1.82,85.1,8,3.84,4,0,0
9093,Operations,Senior Associate,113,46,1,2.26,70.7,76,2.78,4,1,2
9094,Finance,Team Lead,47,46,4,1.65,70.5,71,1.19,4,0,1
9095,Operations,Manager,10,42,4,3.54,84.3,29,3.46,1,1,2
9096,HR,Associate,110,8,1,2.19,74.2,1,3.51,2,1,2
9097,Operations,Team Lead,105,12,1,1.81,81.4,46,2.33,1,0,1
9098,Marketing,Manager,44,51,3,3.05,67.7,39,4.48,5,0,2
9099,Sales,Senior Associate,96,59,3,3.84,78.2,50,3.83,2,0,2
9100,Finance,Associate,86,57,1,2.67,91.8,1,4.29,1,0,0
