employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches,Attrition
218,Sales,Team Lead,Contract,Onsite,31,62,5,31772,24.3,25,0,79.6,0,16,0,2,0
219,Sales,Team Lead,Full-time,Remote,23,5,14,83054,3.4,19,0,59.2,1,43,1,0,1
220,Finance,Associate,Full-time,Remote,56,9,28,84878,14.2,23,0,65.9,1,4,0,0,0
221,Marketing,Team Lead,Full-time,Hybrid,40,28,4,62238,20.0,21,0,43.1,0,1,1,0,0
222,Operations,Team Lead,Full-time,Remote,27,83,13,134504,13.1,4,1,99.6,0,40,0,2,1
223,Engineering,Manager,Full-time,Onsite,40,92,1,88293,2.3,14,0,70.5,0,33,0,0,0
224,Engineering,Manager,Contract,Remote,29,91,22,111298,14.6,3,0,41.5,0,53,0,1,1
225,HR,Senior Associate,Contract,Remote,35,77,18,131442,15.3,4,0,72.5,0,19,0,1,0
226,Marketing,Manager,Full-time,Remote,31,38,23,37213,18.2,28,0,92.2,0,45,0,0,1
227,Sales,Manager,Full-time,Hybrid,24,43,19,44941,19.0,14,1,86.4,1,53,0,0,0
228,Operations,Manager,Full-time,Remote,50,117,26,125881,19.3,26,1,82.1,1,46,2,0,1
229,Finance,Manager,Contract,Remote,36,21,23,130720,16.6,16,1,48.4,1,1,0,1,1
230,Sales,Associate,Full-time,Hybrid,44,91,16,45964,5.4,22,0,79.5,0,27,0,2,0
231,Marketing,Manager,Full-time,Hybrid,44,62,24,56855,10.1,7,0,86.0,0,17,2,0,1
232,Finance,Associate,Full-time,Hybrid,39,46,30,88769,19.4,27,0,74.3,1,43,0,0,1
233,HR,Associate,Full-time,Hybrid,40,70,27,113504,23.8,24,0,93.6,0,38,0,1,0
234,HR,Manager,Contract,Onsite,49,38,27,31046,2.0,28,0,56.6,1,47,0,0,1
235,Engineering,Team Lead,Full-time,Onsite,47,49,21,44909,13.4,18,1,54.5,1,50,0,0,1
236,Marketing,Associate,Full-time,Remote,31,75,4,109114,7.8,8,0,92.2,0,34,0,2,0
237,Operations,Team Lead,Full-time,Onsite,25,111,7,53368,5.6,9,0,77.5,1,14,1,1,1
238,Finance,Team Lead,Full-time,Remote,23,105,27,146853,12.6,4,1,40.1,0,46,0,0,0
239,Sales,Manager,Full-time,Onsite,24,117,11,124135,15.2,9,1,61.2,1,38,1,1,0
240,Marketing,Senior Associate,Full-time,Hybrid,28,81,24,101255,0.2,21,0,91.5,0,39,1,0,0
241,Marketing,Manager,Full-time,Hybrid,37,39,14,111496,19.5,0,0,41.6,0,38,0,1,0
242,HR,Senior Associate,Contract,Onsite,52,71,33,119142,20.5,24,0,40.2,1,2,0,1,0
243,Engineering,Senior Associate,Full-time,Onsite,31,30,12,145864,24.1,24,0,56.9,1,18,1,0,0
244,Engineering,Manager,Full-time,Remote,40,21,7,143902,4.5,21,0,94.8,0,22,0,0,0
245,Finance,Manager,Contract,Remote,49,1,12,45624,14.9,23,0,94.1,0,18,0,1,0
246,HR,Senior Associate,Full-time,Remote,38,89,35,134715,10.7,3,0,71.1,1,17,1,0,0
247,Marketing,Manager,Full-time,Hybrid,49,32,5,136378,8.4,20,0,73.2,1,29,4,0,0
248,Operations,Senior Associate,Full-time,Hybrid,40,8,31,40352,14.1,4,1,59.9,1,38,0,1,0
249,HR,Team Lead,Full-time,Hybrid,44,69,20,126421,19.6,22,1,54.6,1,18,0,0,0
250,Finance,Manager,Full-time,Hybrid,41,30,6,110539,0.6,6,0,88.9,1,4,0,0,0
251,Finance,Team Lead,Contract,Remote,34,115,25,39223,24.2,22,1,46.4,1,54,1,0,1
252,HR,Associate,Full-time,Hybrid,34,8,14,126969,20.2,4,0,69.2,0,12,1,0,0
253,Finance,Team Lead,Full-time,Hybrid,32,113,22,147976,18.8,19,0,78.1,0,33,0,0,0
254,HR,Team Lead,Full-time,Hybrid,36,19,14,108254,19.0,7,0,46.2,0,23,0,1,0
255,Sales,Senior Associate,Full-time,Hybrid,38,108,15,96851,9.7,16,0,71.2,1,17,0,0,0
256,HR,Team Lead,Full-time,Onsite,49,59,31,80044,18.8,0,0,74.7,1,3,0,0,0
257,HR,Manager,Full-time,Remote,40,55,17,117089,9.7,21,1,84.5,0,35,0,1,0
258,Finance,Senior Associate,Full-time,Remote,25,30,19,120218,22.5,17,0,54.1,0,7,0,2,0
259,Finance,Associate,Full-time,Hybrid,43,79,1,115000,4.4,11,1,57.6,0,42,0,0,0
260,Engineering,Manager,Contract,Onsite,43,36,22,137240,7.3,2,0,74.2,0,0,1,1,0
261,Engineering,Associate,Full-time,Remote,55,55,29,61419,13.8,19,0,99.0,0,59,0,2,1
262,Sales,Team Lead,Full-time,Remote,54,44,2,43767,8.0,13,0,53.0,0,40,1,1,1
263,Engineering,Manager,Full-time,Hybrid,54,27,0,102002,10.6,15,0,99.2,1,37,0,0,0
