employee_id,department,designation,employment_type,location,age,tenure_months,months_since_last_hike,current_salary,last_hike_percentage,total_leaves_taken,leave_trend_flag,productivity_score,productivity_trend_flag,bench_days_last_6mo,manager_change_count,number_of_client_switches
9052,Finance,Manager,Full-time,Hybrid,42,104,18,108824,11.0,24,0,57.7,0,4,1,1
9053,HR,Team Lead,Full-time,Remote,31,118,29,83453,5.1,14,1,48.1,0,55,0,0
9054,Finance,Team Lead,Full-time,Hybrid,29,90,33,32620,24.8,12,0,53.0,1,42,1,0
9055,Marketing,Associate,Full-time,Remote,45,72,11,107051,24.6,13,0,44.8,0,33,0,0
9056,Sales,Senior Associate,Full-time,Onsite,30,41,28,32917,21.8,23,0,68.0,1,26,0,0
9057,Sales,Associate,Full-time,Remote,50,72,27,106724,23.9,7,0,79.7,0,49,0,0
9058,Finance,Team Lead,Contract,Onsite,22,47,35,144277,15.0,21,0,72.1,1,14,0,0
9059,Sales,Team Lead,Full-time,Remote,42,39,26,68015,19.6,23,1,71.4,0,45,0,1
9060,Operations,Associate,Full-time,Remote,35,22,11,115775,8.0,24,1,61.6,1,21,0,0
9061,Marketing,Team Lead,Full-time,Onsite,35,48,4,135252,3.0,28,1,71.3,0,56,1,0
9062,Operations,Senior Associate,Full-time,Remote,44,32,34,84018,9.5,14,0,62.9,0,35,1,2
9063,Finance,Manager,Full-time,Onsite,47,117,34,52754,20.2,25,0,67.2,1,57,0,0
9064,Engineering,Senior Associate,Full-time,Remote,45,108,17,75260,1.6,22,0,61.6,0,25,1,0
9065,Engineering,Team Lead,Full-time,Onsite,55,47,12,82089,10.1,28,1,97.0,0,59,0,1
9066,Sales,Team Lead,Full-time,Hybrid,56,104,34,117106,12.5,6,0,90.4,1,41,0,0
9067,HR,Manager,Full-time,Remote,34,8,6,136681,9.4,23,1,51.4,1,8,0,1
9068,Sales,Team Lead,Full-time,Onsite,39,36,28,56904,9.7,11,0,72.3,1,54,1,0
9069,Engineering,Manager,Full-time,Hybrid,56,50,1,99750,21.6,23,0,96.5,1,28,0,0
9070,Finance,Manager,Full-time,Remote,23,22,6,76793,3.5,9,1,75.1,1,59,0,1
9071,Engineering,Manager,Full-time,Hybrid,24,66,23,59165,12.5,19,0,55.7,1,28,0,1
9072,Marketing,Team Lead,Contract,Remote,26,74,34,43303,20.7,4,1,78.5,0,23,0,0
9073,Finance,Senior Associate,Full-time,Remote,39,59,18,94211,3.8,12,1,56.4,1,13,0,1
9074,Finance,Team Lead,Full-time,Hybrid,33,8,7,96934,14.9,29,0,89.9,1,31,1,0
9075,HR,Team Lead,Full-time,Onsite,45,103,16,61954,15.5,24,0,88.6,1,43,0,0
9076,Engineering,Team Lead,Full-time,Remote,51,106,28,112787,21.8,29,0,78.9,0,37,0,1
9077,Marketing,Team Lead,Full-time,Onsite,53,31,4,64288,8.8,28,0,86.9,0,45,1,0
9078,Engineering,Senior Associate,Full-time,Remote,32,36,6,51119,8.6,17,0,49.7,1,5,1,1
9079,HR,Manager,Contract,Remote,47,20,31,106368,5.3,15,0,54.1,1,48,0,2
9080,Finance,Team Lead,Full-time,Hybrid,54,98,24,42614,22.1,10,0,59.7,0,7,0,1
9081,HR,Team Lead,Full-time,Hybrid,26,32,33,134425,1.2,2,1,45.7,0,56,1,1
9082,Finance,Team Lead,Full-time,Onsite,24,111,19,63399,24.0,23,0,89.1,1,29,0,2
9083,HR,Manager,Full-time,Hybrid,36,37,27,145693,4.3,20,0,77.3,0,43,0,0
9084,Operations,Manager,Full-time,Onsite,40,76,30,31797,6.3,18,0,40.1,1,52,1,0
9085,Engineering,Manager,Full-time,Remote,53,61,27,87821,13.8,19,0,59.9,1,39,0,0
9086,Finance,Manager,Full-time,Hybrid,48,80,32,121847,24.4,6,0,78.5,0,55,0,0
9087,HR,Manager,Full-time,Hybrid,42,74,33,147746,5.6,3,0,80.8,1,8,1,1
9088,Finance,Team Lead,Full-time,Remote,29,58,31,93977,16.3,11,0,82.6,0,52,1,1
9089,Marketing,Associate,Full-time,Onsite,26,38,7,36573,19.1,29,1,95.1,1,58,1,0
9090,Marketing,Team Lead,Full-time,Onsite,46,114,20,61579,2.9,26,1,47.2,1,27,1,0
9091,Marketing,Manager,Full-time,Hybrid,35,110,27,116177,19.9,24,0,63.0,1,13,0,0
9092,Marketing,Associate,Full-time,Hybrid,33,57,12,78727,14.1,26,1,52.3,1,29,0,0
9093,Sales,Associate,Full-time,Hybrid,57,90,14,132784,6.1,8,0,89.6,0,32,0,0
9094,Operations,Senior Associate,Full-time,Hybrid,47,51,4,66517,7.9,22,1,42.3,1,12,0,1
9095,Operations,Senior Associate,Full-time,Hybrid,52,87,14,80874,5.8,27,0,50.2,1,20,0,0
9096,Sales,Team Lead,Contract,Remote,24,60,2,110956,17.6,5,0,69.2,1,57,0,1
9097,Marketing,Manager,Contract,Onsite,48,39,29,47359,2.4,28,1,42.4,0,3,0,0
9098,Marketing,Manager,Contract,Onsite,36,90,21,43865,5.4,20,0,70.2,0,4,1,0
9099,Finance,Senior Associate,Full-time,Remote,41,112,11,92589,18.7,0,0,99.2,0,5,0,1
9100,Finance,Senior Associate,Full-time,Remote,43,34,13,77837,11.4,5,1,95.6,0,41,0,0
