employee_id,department,current_designation,tenure_months,months_since_last_promotion,performance_rating,avg_performance_rating_last_2yrs,project_completion_rate,training_hours_completed,peer_review_score,manager_rating,leadership_flag,certifications_count,PromotionReady
52,Engineering,Manager,3,26,3,4.72,62.6,23,1.61,4,0,0,0
53,Marketing,Senior Associate,65,28,3,4.86,76.1,6,1.74,5,0,1,0
54,Operations,Manager,3,15,4,3.7,98.5,78,1.22,1,1,0,1
55,Finance,Team Lead,107,51,3,3.78,86.3,27,3.92,5,0,1,0
56,Sales,Manager,1,57,2,1.72,80.0,38,2.34,2,0,2,0
57,Finance,Associate,44,3,4,1.25,54.4,0,3.75,4,1,1,0
58,Finance,Senior Associate,11,45,2,3.53,93.3,8,3.03,3,0,0,0
59,Finance,Senior Associate,47,46,4,2.67,69.2,45,1.56,3,0,3,0
60,Sales,Manager,53,44,1,3.0,53.9,27,4.54,3,0,0,0
61,Finance,Senior Associate,21,1,3,4.3,59.6,63,3.35,1,0,1,0
62,Finance,Team Lead,46,39,5,2.87,55.0,16,4.07,1,0,2,0
63,Operations,Senior Associate,66,25,2,4.44,80.6,18,4.41,1,0,2,1
64,Finance,Manager,43,34,2,2.57,97.5,70,4.52,4,0,1,1
65,Sales,Senior Associate,94,21,5,4.64,59.3,79,1.44,1,1,2,0
66,Finance,Manager,48,19,4,3.03,56.9,22,3.29,1,0,0,0
67,Sales,Team Lead,48,12,5,2.07,69.6,39,3.53,1,0,2,0
68,Marketing,Associate,87,59,2,1.82,74.8,71,3.91,4,1,1,1
69,Sales,Senior Associate,85,23,2,1.32,53.8,66,1.58,2,0,1,0
70,Marketing,Manager,58,36,1,3.82,85.7,42,3.38,4,0,1,0
71,Sales,Associate,77,55,2,2.28,78.8,30,1.32,5,0,1,0
72,HR,Team Lead,52,17,5,2.37,53.7,21,1.73,2,1,2,0
73,Finance,Senior Associate,3,53,5,3.62,91.7,73,1.69,2,1,0,1
74,HR,Team Lead,60,41,1,4.95,53.4,76,3.13,1,0,1,0
75,HR,Associate,53,48,3,2.68,73.7,67,1.31,4,0,0,0
76,Marketing,Team Lead,73,37,1,2.32,71.7,60,1.22,3,1,1,0
77,Finance,Senior Associate,37,40,1,3.08,75.3,66,4.81,4,0,0,0
78,Finance,Manager,62,52,2,1.71,82.4,76,4.41,2,0,0,0
79,HR,Team Lead,103,30,2,3.08,92.6,72,4.12,2,0,0,0
80,Engineering,Manager,27,13,2,4.42,99.4,36,2.51,4,1,2,1
81,Operations,Associate,97,2,4,1.43,89.8,24,4.92,1,0,5,0
82,Marketing,Senior Associate,1,59,3,1.84,68.3,16,4.34,1,0,1,0
83,Finance,Team Lead,5,24,5,2.43,91.4,42,3.39,5,0,2,0
84,Sales,Senior Associate,93,33,1,2.37,73.9,47,2.09,4,0,1,0
85,Sales,Associate,53,3,4,2.38,63.3,1,2.48,2,0,1,0
86,Operations,Senior Associate,47,15,1,2.03,67.8,0,1.28,4,0,1,0
87,Finance,Associate,8,50,4,4.76,75.1,49,2.09,3,0,1,1
88,Operations,Team Lead,60,40,2,1.28,55.9,63,3.83,3,1,0,0
89,Operations,Associate,28,55,2,3.15,61.5,18,3.77,4,1,0,0
90,Marketing,Associate,18,1,3,2.54,78.2,60,2.45,4,0,0,0
91,Operations,Manager,12,37,4,4.12,80.9,6,3.62,5,0,1,0
92,Finance,Team Lead,43,21,5,2.93,62.3,36,3.78,5,0,1,1
93,Finance,Manager,94,46,4,3.68,78.1,77,3.47,3,0,1,0
94,Engineering,Senior Associate,30,0,2,3.87,57.0,5,1.49,1,0,0,0
95,Operations,Team Lead,82,56,3,1.59,51.7,19,1.12,4,1,1,0
96,Finance,Manager,32,13,2,4.72,61.9,24,3.84,2,0,1,0
97,Engineering,Associate,54,59,4,3.69,75.0,61,3.41,1,0,0,0
98,HR,Team Lead,13,17,3,2.16,65.0,70,4.52,2,1,1,1
99,HR,Manager,75,34,4,1.79,79.5,31,1.27,1,1,1,0
100,Finance,Senior Associate,56,3,5,2.06,96.3,40,3.1,3,0,2,0
101,Marketing,Senior Associate,66,44,2,2.51,86.6,44,4.5,2,1,1,1
102,HR,Team Lead,62,2,2,4.72,83.0,65,4.53,5,0,0,1
103,Finance,Manager,104,33,4,2.2,63.3,35,4.33,5,1,0,1
104,Marketing,Manager,3,48,4,4.72,56.5,22,3.44,3,0,3,0
105,Operations,Manager,16,41,4,2.83,50.8,56,4.09,3,1,2,1
106,Operations,Team Lead,55,25,2,3.23,99.5,59,3.63,1,0,0,0
107,Marketing,Associate,111,17,1,1.61,70.1,59,2.01,5,0,2,0
108,Engineering,Manager,117,2,4,4.84,57.4,59,2.8,1,1,1,0
109,Marketing,Team Lead,116,24,4,1.17,61.0,2,1.34,2,0,0,0
110,Marketing,Senior Associate,103,8,1,3.86,78.3,4,4.33,2,0,0,0
111,Operations,Associate,28,39,3,3.95,88.7,42,1.36,1,0,2,0
112,Finance,Team Lead,70,57,2,1.67,66.2,48,2.78,2,0,0,0
113,Sales,Team Lead,77,46,5,4.72,96.5,27,2.2,4,1,2,1
114,HR,Associate,113,4,2,2.92,74.6,23,2.58,2,0,4,0
115,Marketing,Manager,54,15,1,1.19,99.8,79,4.66,2,0,0,0
116,Operations,Manager,35,28,1,2.02,94.3,69,2.59,5,0,2,0
117,Operations,Associate,31,58,4,4.94,65.2,40,2.31,4,0,1,1
118,Sales,Team Lead,52,4,4,1.73,56.9,21,2.83,3,0,0,0
119,Sales,Team Lead,117,44,4,1.09,89.3,69,4.26,4,1,1,1
120,Marketing,Senior Associate,29,24,1,2.69,86.0,69,4.35,2,1,1,1
121,HR,Senior Associate,84,33,1,4.81,61.5,57,4.9,3,1,2,1
122,Engineering,Manager,2,44,5,1.92,97.9,0,3.66,3,0,1,0
123,Operations,Manager,111,23,5,4.92,66.9,20,3.25,2,0,3,1
124,HR,Associate,25,8,3,4.5,71.1,44,4.19,3,0,1,1
125,Operations,Senior Associate,31,55,2,4.44,62.3,26,4.37,1,0,1,0
126,Engineering,Team Lead,89,2,1,3.34,57.8,68,2.72,3,0,1,0
127,HR,Associate,114,58,4,2.12,72.9,65,3.27,2,0,1,0
128,Finance,Team Lead,27,14,3,3.39,87.5,30,1.11,3,1,0,1
129,HR,Manager,111,26,5,4.54,97.7,40,1.81,2,0,0,0
130,Operations,Associate,108,15,2,2.43,79.2,1,4.18,5,0,1,0
131,Sales,Associate,54,45,4,2.61,59.6,2,4.32,1,0,2,0
132,Marketing,Associate,113,52,1,2.47,56.9,0,3.97,1,0,3,0
133,HR,Senior Associate,82,49,2,1.26,70.8,57,4.21,3,0,0,0
134,Sales,Team Lead,83,15,5,4.11,81.9,1,1.36,3,0,1,0
135,Marketing,Associate,65,32,5,1.62,79.0,35,2.63,2,0,1,0
136,Sales,Senior Associate,7,46,2,2.91,51.2,31,3.46,1,0,0,0
137,Operations,Senior Associate,5,38,5,3.95,70.5,26,3.77,5,0,1,1
138,Sales,Associate,114,28,5,3.98,54.7,69,2.56,5,0,2,1
139,Engineering,Associate,89,24,2,4.49,93.4,31,2.07,3,0,2,0
140,Operations,Team Lead,56,13,5,3.75,50.4,51,3.85,5,1,0,1
141,Marketing,Associate,68,6,3,4.36,92.2,40,4.15,5,0,1,0
142,Sales,Senior Associate,62,16,4,1.48,96.4,21,2.16,2,0,0,0
143,Marketing,Associate,56,17,3,2.33,50.6,23,1.21,1,0,0,0
144,Operations,Manager,61,4,3,1.56,94.1,56,4.85,2,0,1,0
145,Finance,Senior Associate,32,23,3,2.24,80.2,4,2.7,5,0,2,0
146,Operations,Manager,54,41,2,1.09,98.8,22,2.43,2,0,1,0
147,Sales,Manager,119,28,5,2.32,77.8,57,1.11,1,0,1,0
148,Finance,Manager,106,51,2,4.2,58.7,38,1.19,1,0,0,0
149,Engineering,Manager,16,34,3,3.37,83.8,55,4.46,2,0,2,1
150,Sales,Associate,71,2,5,1.82,55.5,17,3.85,5,0,0,0
151,Marketing,Associate,59,14,2,3.57,97.9,22,2.33,2,0,3,0
152,Marketing,Manager,71,26,1,3.58,81.5,18,2.64,5,0,0,0
153,Finance,Team Lead,5,45,2,3.02,68.2,63,1.32,3,0,2,0
154,Operations,Team Lead,71,23,3,3.21,51.5,39,1.1,5,1,2,0
155,Engineering,Senior Associate,54,39,4,1.05,69.3,0,3.52,4,0,3,0
156,Finance,Team Lead,49,19,1,3.76,60.7,50,1.16,1,1,0,0
157,Sales,Manager,6,59,4,4.65,58.0,71,4.57,5,1,0,1
158,Operations,Manager,31,44,3,2.59,60.3,41,2.35,1,0,2,0
159,Operations,Manager,29,16,3,3.54,65.0,69,1.88,5,0,0,0
160,Marketing,Senior Associate,119,46,5,4.89,85.7,43,2.32,3,1,1,0
161,Operations,Associate,111,37,4,4.38,51.5,65,2.91,1,0,0,0
162,Marketing,Manager,20,27,3,1.59,60.2,57,3.46,4,1,0,0
163,HR,Team Lead,104,39,4,1.42,70.5,13,3.05,4,0,2,0
164,Sales,Senior Associate,5,22,5,1.77,83.1,47,1.86,2,0,2,0
165,Finance,Team Lead,84,54,2,3.98,58.6,34,1.87,1,0,3,0
166,Finance,Senior Associate,69,57,4,4.71,74.6,35,1.24,4,0,0,0
167,HR,Associate,50,24,3,2.39,66.7,24,3.54,3,0,0,0
168,Operations,Manager,86,45,2,3.31,95.8,24,2.91,5,0,1,0
169,Engineering,Team Lead,94,18,3,2.7,87.4,75,1.53,5,1,1,1
170,Marketing,Senior Associate,6,40,3,4.8,89.0,21,1.79,5,0,2,0
171,Finance,Associate,30,11,5,3.43,61.4,15,1.75,4,1,1,0
172,Marketing,Senior Associate,98,56,3,3.03,77.1,23,3.52,1,0,1,0
173,Engineering,Manager,39,44,5,2.05,81.4,79,4.65,2,0,1,1
174,Marketing,Team Lead,67,26,5,3.85,61.8,11,4.2,3,0,1,1
175,Sales,Senior Associate,27,49,1,3.76,80.8,20,3.45,1,0,3,0
176,Marketing,Manager,61,40,2,1.03,82.5,35,4.35,3,1,1,0
177,Engineering,Senior Associate,54,16,3,3.35,75.2,54,3.85,5,0,0,0
178,Operations,Manager,116,0,3,4.32,89.2,17,4.72,4,0,3,1
179,Finance,Associate,69,17,1,4.18,61.2,39,3.01,5,0,1,0
180,Marketing,Associate,100,30,3,2.08,80.2,38,2.69,1,0,0,0
181,Sales,Manager,39,0,2,4.89,73.6,64,4.07,1,0,1,0
182,HR,Manager,15,3,3,2.92,74.7,67,1.53,5,1,0,0
183,Engineering,Team Lead,69,22,4,3.81,80.2,76,3.45,3,1,3,1
184,HR,Associate,10,42,3,3.72,77.6,28,4.47,4,0,1,0
185,Engineering,Senior Associate,32,58,4,2.4,65.7,75,4.98,5,0,1,1
186,HR,Associate,107,24,4,2.2,66.7,52,2.65,3,1,4,1
187,Sales,Associate,77,44,1,4.89,80.0,26,1.05,4,0,1,0
188,Sales,Manager,119,5,1,4.11,68.3,2,2.08,4,1,1,0
189,Marketing,Senior Associate,22,42,2,2.7,99.7,34,4.53,3,0,1,0
190,Marketing,Team Lead,82,10,1,2.14,59.3,2,3.49,3,0,1,0
191,Finance,Team Lead,35,43,4,4.69,88.0,42,3.46,5,1,3,1
192,Sales,Manager,57,4,4,2.66,92.4,29,3.49,4,1,3,1
193,Engineering,Associate,18,2,2,1.28,76.7,36,3.19,4,0,2,0
194,Engineering,Team Lead,33,29,3,3.3,90.7,4,2.26,3,0,1,1
195,Sales,Team Lead,21,36,5,3.75,63.1,30,2.66,5,0,0,0
196,Sales,Associate,115,54,1,1.88,88.6,20,1.51,3,0,2,0
197,Sales,Senior Associate,100,17,1,1.26,89.9,64,2.27,5,0,0,0
198,Marketing,Manager,84,1,3,1.22,67.5,32,2.27,3,1,4,0
199,Finance,Team Lead,51,15,2,4.49,94.2,49,1.58,3,0,0,0
200,HR,Manager,92,57,2,3.26,73.3,70,4.15,4,0,0,0
201,Engineering,Associate,88,41,1,1.53,70.9,23,3.54,1,1,0,0
202,Marketing,Team Lead,86,14,5,3.29,99.0,2,1.13,5,0,0,1
203,HR,Associate,44,42,3,3.58,94.9,57,1.81,1,1,1,1
204,HR,Manager,81,36,2,4.7,93.2,20,4.57,1,0,1,1
205,Operations,Team Lead,112,4,4,2.11,72.9,22,2.59,2,0,2,0
206,HR,Team Lead,81,58,1,4.72,65.3,51,4.96,2,0,4,0
207,Finance,Manager,44,46,4,4.6,78.8,19,3.26,4,0,2,1
208,Operations,Senior Associate,33,6,2,3.08,58.9,59,3.07,1,0,0,0
209,Engineering,Manager,76,32,3,4.91,61.1,4,4.2,3,1,0,0
210,Sales,Team Lead,40,56,5,2.53,50.6,53,3.98,4,0,3,0
211,Operations,Manager,86,4,1,2.47,82.5,25,4.61,1,0,0,0
212,Sales,Team Lead,86,19,2,2.81,58.4,69,4.06,2,0,2,0
213,Operations,Manager,17,1,4,3.47,88.0,9,2.11,5,1,2,1
214,Finance,Senior Associate,60,29,2,1.51,62.7,61,3.02,1,0,0,0
215,HR,Team Lead,37,9,1,4.29,95.9,46,3.48,4,1,2,1
216,Operations,Team Lead,103,31,3,3.63,88.8,70,3.75,1,0,2,0
217,Sales,Team Lead,80,33,1,2.15,80.9,45,3.54,2,0,0,0
218,Engineering,Associate,101,34,3,1.8,63.7,25,4.25,5,0,0,0
219,HR,Associate,15,27,1,2.41,58.1,77,4.42,4,0,0,1
220,Operations,Manager,41,20,4,3.63,55.2,19,1.55,1,0,1,0
221,Engineering,Team Lead,113,14,5,4.02,83.1,40,2.79,5,0,2,1
222,Engineering,Team Lead,86,56,1,3.39,80.2,38,4.55,1,0,3,0
223,Operations,Senior Associate,112,51,4,1.87,57.5,35,2.27,1,0,0,0
224,Sales,Manager,53,58,5,3.44,83.8,46,2.06,5,0,1,1
225,Engineering,Team Lead,45,56,4,1.47,92.3,31,4.07,2,0,0,0
226,HR,Associate,29,23,5,4.42,96.5,44,2.62,5,1,0,1
227,Engineering,Associate,80,25,1,1.83,95.2,64,3.42,1,0,1,0
228,Finance,Manager,65,43,3,1.76,99.9,36,3.45,1,0,0,0
229,Marketing,Manager,46,11,4,3.78,53.0,22,1.47,4,0,4,0
230,Marketing,Manager,111,9,1,4.22,95.8,7,4.79,5,0,3,1
231,Engineering,Team Lead,35,23,4,3.04,81.3,30,4.44,3,1,0,0
232,Sales,Team Lead,104,3,3,4.21,59.5,65,2.61,2,0,3,0
233,Finance,Senior Associate,74,19,2,1.45,51.8,59,1.48,1,0,2,0
234,HR,Associate,100,27,2,3.76,66.8,33,1.75,1,0,0,0
235,Engineering,Team Lead,68,23,3,3.03,55.8,5,3.83,2,0,1,0
236,Engineering,Senior Associate,57,41,4,4.82,100.0,41,3.69,1,0,0,0
237,Operations,Associate,76,0,5,2.3,83.3,41,1.92,4,0,1,0
238,Marketing,Manager,51,13,3,3.61,97.3,57,3.03,3,0,0,0
239,Operations,Team Lead,60,21,1,3.45,66.6,69,4.08,2,0,1,0
240,Finance,Associate,5,6,3,3.93,60.8,63,2.41,2,0,0,1
241,Marketing,Senior Associate,35,53,3,4.66,62.3,72,3.47,2,1,0,1
242,Sales,Team Lead,116,46,3,1.28,77.2,9,4.11,4,0,3,0
243,Marketing,Manager,97,21,2,4.65,65.4,79,2.37,3,1,0,0
244,HR,Manager,4,22,4,4.16,58.2,24,3.03,1,0,0,0
245,Operations,Team Lead,51,17,1,3.21,74.2,74,4.78,5,1,0,1
246,Engineering,Manager,100,48,1,2.33,73.7,68,2.3,2,0,1,0
247,Operations,Manager,97,58,1,2.06,91.0,45,2.57,2,1,0,0
248,HR,Manager,58,5,1,3.28,79.1,38,3.95,3,1,3,1
249,HR,Senior Associate,83,3,1,4.92,55.5,65,3.9,4,1,1,1
250,Engineering,Associate,35,2,3,1.14,75.4,44,4.74,1,0,1,0
251,Marketing,Senior Associate,64,9,2,1.97,94.6,39,3.51,5,0,0,0
252,Finance,Senior Associate,40,56,2,2.42,80.6,38,1.09,1,0,1,0
253,Sales,Team Lead,1,29,5,4.15,58.2,37,3.01,4,0,0,1
254,Marketing,Associate,7,59,1,3.37,89.5,16,1.84,3,0,1,0
255,Engineering,Manager,104,11,2,4.06,63.5,75,1.74,1,0,2,0
256,Finance,Senior Associate,49,0,2,1.66,65.9,38,3.98,5,0,2,0
257,Sales,Associate,115,1,4,4.11,61.7,1,2.47,5,0,4,0
258,HR,Senior Associate,33,16,4,4.74,91.0,38,1.93,3,0,2,0
259,Engineering,Team Lead,83,8,5,2.36,87.9,77,4.85,3,0,1,0
260,Sales,Manager,12,52,2,1.5,79.8,29,3.46,3,0,0,0
261,Finance,Associate,78,23,3,1.13,58.6,9,4.84,3,0,3,0
262,Finance,Associate,70,53,1,4.68,75.3,62,4.95,5,0,1,0
263,Operations,Team Lead,78,53,1,1.45,89.6,34,3.52,4,0,3,0
264,Marketing,Manager,95,24,2,4.76,99.1,60,3.46,3,0,1,1
265,Finance,Associate,115,0,3,2.45,93.9,54,3.98,2,0,0,0
266,Sales,Associate,97,52,1,3.22,75.5,16,4.62,3,0,0,0
267,Marketing,Manager,78,59,5,1.93,85.9,55,4.06,1,0,0,0
268,Operations,Manager,81,51,3,3.74,59.3,33,1.64,3,0,0,0
269,Finance,Senior Associate,82,43,5,4.04,89.1,59,4.66,1,0,0,1
270,Operations,Associate,89,44,5,3.85,76.5,51,1.88,4,0,0,1
271,Engineering,Senior Associate,22,4,5,3.84,99.8,28,4.24,5,1,1,1
272,Sales,Team Lead,4,1,1,2.29,77.8,44,1.44,5,0,2,0
273,HR,Team Lead,65,25,5,4.31,97.9,65,3.44,4,0,1,1
274,HR,Team Lead,35,35,3,3.4,79.0,12,2.86,5,0,1,0
275,Engineering,Team Lead,58,9,2,4.39,63.4,10,1.12,2,1,0,0
276,Operations,Team Lead,42,48,3,4.79,78.3,59,1.57,1,0,1,0
277,Finance,Senior Associate,117,41,5,3.48,85.5,75,1.17,1,0,0,0
278,Sales,Manager,36,47,5,1.23,51.4,65,4.99,1,0,1,0
279,Engineering,Associate,7,4,1,1.67,92.0,0,1.87,3,0,2,0
280,Operations,Manager,32,6,1,4.97,84.9,77,4.18,4,0,0,0
281,Sales,Team Lead,3,46,1,2.61,64.2,37,1.67,2,0,0,0
282,Engineering,Associate,89,50,2,4.17,68.8,71,1.9,2,1,0,0
283,Marketing,Manager,18,42,1,2.07,90.5,61,1.08,1,0,3,0
284,HR,Manager,91,55,2,1.73,79.3,2,3.71,1,0,3,0
285,Operations,Team Lead,63,8,4,4.14,52.2,61,3.16,4,0,0,0
286,Operations,Manager,6,4,5,3.4,62.9,79,4.68,2,0,0,1
287,Operations,Senior Associate,71,58,4,1.21,83.9,76,3.68,3,1,1,0
288,Operations,Associate,66,23,4,4.03,88.2,74,3.32,4,1,0,1
289,Finance,Associate,94,17,3,4.37,50.6,17,1.13,1,0,2,0
290,Sales,Associate,74,3,2,1.61,78.1,36,1.41,5,0,0,0
291,HR,Team Lead,110,47,2,4.06,69.4,72,4.61,4,0,1,0
292,Engineering,Associate,48,50,3,3.3,53.2,48,4.44,3,0,0,0
293,Marketing,Manager,45,11,4,1.12,96.8,8,3.24,1,1,1,0
294,HR,Team Lead,94,57,5,3.04,60.9,53,2.67,4,0,2,0
295,Sales,Senior Associate,20,41,1,2.65,58.0,64,4.92,1,1,0,0
296,HR,Manager,101,6,4,2.77,51.9,59,3.62,2,0,0,0
297,Marketing,Associate,84,18,1,3.77,92.6,79,1.28,3,1,1,0
298,Marketing,Team Lead,111,3,3,1.2,63.7,23,2.14,3,0,1,0
299,Marketing,Manager,113,26,3,1.57,71.8,22,3.73,1,0,3,0
300,Marketing,Associate,16,41,4,2.18,60.5,43,3.16,2,0,1,1
301,Engineering,Associate,114,5,3,3.17,73.9,7,4.28,5,0,1,1
302,HR,Senior Associate,109,31,3,2.15,90.1,79,2.8,1,0,3,1
303,Operations,Manager,36,33,3,3.27,84.5,76,1.47,5,0,1,0
304,Marketing,Associate,56,26,1,4.64,96.2,49,3.86,2,0,3,0
305,HR,Associate,102,1,4,1.23,81.5,16,3.82,4,0,0,0
306,Operations,Manager,72,18,5,4.4,80.6,63,3.94,4,0,1,1
307,Engineering,Associate,17,27,3,2.44,51.0,7,1.16,5,0,0,0
308,Marketing,Senior Associate,118,33,1,4.62,92.7,12,2.65,1,1,2,0
309,Finance,Manager,22,39,4,1.07,70.3,15,1.27,2,0,3,0
310,Finance,Team Lead,63,17,3,2.41,99.8,52,3.45,3,0,0,0
311,Engineering,Manager,93,42,5,3.29,89.8,52,3.81,3,0,2,1
312,Operations,Associate,98,35,2,3.21,96.5,26,3.32,5,0,2,0
313,Marketing,Senior Associate,27,50,5,1.07,58.1,75,3.53,4,0,1,1
314,Engineering,Team Lead,40,42,1,1.1,93.1,14,4.79,3,0,0,1
315,Marketing,Team Lead,78,22,3,1.79,54.4,78,2.29,5,0,2,1
316,Sales,Manager,104,31,3,3.36,52.9,0,4.14,4,1,1,0
317,Operations,Manager,72,25,2,4.32,52.8,2,1.59,3,0,0,0
318,HR,Associate,95,17,3,1.88,51.1,59,3.69,5,0,3,1
319,Marketing,Manager,103,23,2,4.28,73.0,45,4.05,3,0,0,0
320,Sales,Senior Associate,112,51,1,4.32,84.3,55,2.4,1,0,0,0
321,Sales,Manager,16,4,4,4.61,93.9,28,4.94,2,0,0,1
322,Finance,Team Lead,34,7,4,2.52,55.7,42,1.62,1,1,3,0
323,Operations,Team Lead,100,39,5,1.39,78.1,41,2.57,5,1,3,1
324,Engineering,Associate,38,21,4,4.33,65.2,25,2.37,4,0,2,1
325,Finance,Team Lead,94,6,1,1.32,71.2,49,3.07,2,0,0,0
326,Marketing,Manager,1,52,3,3.48,99.3,3,4.95,2,0,1,0
327,Operations,Senior Associate,67,53,4,3.34,73.0,4,4.95,4,0,3,0
328,Engineering,Associate,57,49,3,3.88,84.2,63,4.81,4,0,0,0
329,Operations,Team Lead,51,18,4,4.61,93.7,42,1.18,2,0,0,0
330,Sales,Manager,4,22,2,4.11,79.3,24,4.15,1,0,1,0
331,Marketing,Manager,105,25,2,2.72,76.4,43,2.99,4,0,1,0
332,HR,Senior Associate,40,20,1,2.96,66.8,51,1.98,1,0,0,0
333,Finance,Manager,25,49,1,1.32,89.1,50,3.05,3,0,1,0
334,Finance,Associate,96,33,5,2.08,70.0,40,1.12,4,0,0,0
335,Operations,Manager,116,52,1,3.18,96.2,8,2.9,5,0,2,0
336,Engineering,Manager,106,8,3,4.26,55.2,5,2.21,4,1,3,1
337,Marketing,Senior Associate,18,53,3,1.27,66.5,32,3.44,1,0,1,0
338,Finance,Associate,86,51,3,3.73,65.5,45,1.27,4,0,2,0
339,Marketing,Associate,43,49,3,3.75,87.8,76,3.58,1,1,4,1
340,Marketing,Team Lead,84,57,4,2.13,93.2,58,4.75,2,0,1,0
341,Marketing,Senior Associate,53,1,3,1.76,62.8,32,1.96,2,0,1,0
342,Finance,Manager,7,36,1,2.17,57.0,27,3.58,1,0,3,0
343,Marketing,Senior Associate,30,25,1,3.81,54.6,79,4.31,5,0,3,1
344,HR,Manager,15,17,4,4.15,95.5,44,4.11,5,0,0,1
345,Finance,Team Lead,14,0,4,2.61,61.3,0,2.05,1,0,2,0
346,Sales,Associate,63,48,4,3.1,53.4,66,4.39,4,0,1,0
347,Sales,Senior Associate,11,53,1,3.63,77.1,5,2.77,2,0,1,0
348,Engineering,Manager,58,13,2,3.38,99.6,74,4.26,3,1,0,1
349,Operations,Senior Associate,92,58,2,2.19,54.4,52,3.83,1,1,0,0
